,,,,,,,
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
ARABIAN OUD,RESALAH,,RESALAH,240207,1.00KG,400,$ 109
ARABIAN OUD,ARABIAN KNIGHT,LZ,GILBERT,353810-T,1.00KG,720,$ 197
ARABIAN OUD,KALIMAT,,KALIMAT,240256,1.00KG,700,$ 191
ARABIAN OUD,MADAWI,,MADAWI,240078,1.00KG,500,$ 137
ARABIAN OUD,MADAWI 40 YEARS GOLD EDITION,,MADAWI 40 YEARS GOLD,240055,1.00KG,350,$ 96
ARABIAN OUD,MADAWI 40 YEARS GOLD EDITION TOP,,MADAWI 40 YEARS GOLD EDITION TOP,240056,1.00KG,600,$ 164
ARABIAN OUD,BAKHOOR DEWAN AL SHARQ,,BAKHOOR DEWAN AL SHARQ,3000047,1.00KG,390,$ 107
ARABIAN OUD,MABSOOS,,MABSOOS,3000048,1.00KG,330,$ 90
ARABIAN OUD,MAJESTIC SPECIAL OUD,,MAJESTIC SPECIAL OUD,3000049,1.00KG,275,$ 75
ARABIAN OUD,MAJOON,,MAJOON,3000050,1.00KG,390,$ 107
ARABIAN OUD,OUD MOODY,,OUD MOODY,3000051,1.00KG,330,$ 90
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
ARD AL ZAAFRAN,HAREEM AL SULTAN,,HAREEM AL SULTAN,3000052,1.00KG,275,$ 75
ARD AL ZAFRAN,DIRHAM,,DIRHAM,3000053,1.00KG,275,$ 75
ARIANA GRANDE,CLOUD,,CLOUD,240170,1.00KG,550,$ 150
ARIANA GRANDE,MOD VANILLA,LZ,ICONIC TWIGGY,336298,1.00KG,470,$ 128
ARIANA GRANDE,CLOUD PINK,,CLOUD PINK,FXZG634,1.00KG,1100,$ 301
ARMAF,ODYSSEY DUBAI CHOCOLATE,,ODYSSEY DUBAI CHOCOLATE,250072,1.00KG,850,$ 232
ARMAF,CLUB DE NUIT INTENSE,,CLUB DE NUIT INTENSE,240551,1.00KG,400,$ 109
ARMAND,BASI IN RED,LZ,RED BASSOON,236080,1.00KG,580,$ 158
ARMAND,BASI IN RED TOP,,BASI IN RED,240082,1.00KG,580,$ 158
ARABIYAT OUD,AL LAYL,,AL LAYL,250042,1.00KG,450,$ 123
ARMANI,STRONGER WITH YOU POWERFULLY TOP,,"STRONGER WITH YOU POWERFULLY
TOP",250421,1.00KG,1100,$ 301
ARMANI,"STRONGER WITH YOU POWERFULLY
SUPER",,"STRONGER WITH YOU POWERFULLY
SUPER",250483,1.00KG,700,$ 191
ARMANI,POWER OF YOU,,POWER OF YOU,250374,1.00KG,1100,$ 301
ARMANI,PRIVE IRIS BLEU,,PRIVE IRIS BLEU,250286,1.00KG,1100,$ 301
ARMANI,SI PERFUME,,SI PERFUME,250270,1.00KG,700,$ 191
ARMANI,SI PASSIONE RED MUSK,,SI PASSIONE RED MUSK,250165,1.00KG,900,$ 245
ARMANI,CODE ELIXIR,,CODE ELIXIR,250062,1.00KG,1100,$ 301
ARMANI,ACQUA DI GIOA,,ACQUA DI GIOA,240990,1.00KG,900,$ 245
ARMANI,AQUA DI GIO ELIXIR,,AQUA DI GIO ELIXIR,240954,1.00KG,850,$ 232
ARMANI,CODE EAU DE PARFUM,,CODE EAU DE PARFUM,240935,1.00KG,850,$ 232
ARMANI,THE YULONG,,THE YULONG,240909,1.00KG,1300,$ 355
ARMANI,STRONGER WITH YOU SANDALWOOD,,STRONGER WITH YOU SANDALWOOD,240897,1.00KG,1200,$ 327
ARMANI,MY WAY YLANG,,MY WAY YLANG,240859,1.00KG,850,$ 232
ARMANI,STRONGER WITH YOU PARFUM,,STRONGER WITH YOU,240812,1.00KG,850,$ 232
ARMANI,ACQUA DI GIO PARFUM,,ACQUA DI GIO PARFUM,240676,1.00KG,1000,$ 273
ARMANI,PRIVE ROSE D ARABIE,,PRIVE ROSE D ARABIE,240666,1.00KG,950,$ 260
ARMANI,PRIVE OUD ROYAL TOP,,PRIVE OUD ROYAL TOP,240603,1.00KG,1300,$ 355
ARMANI,ATTITUDE,,ATTITUDE,240593,1.00KG,580,$ 158
ARMANI,SI INTENSE,,SI INTENSE,240589,1.00KG,1000,$ 273
ARMANI,ACQUA DI GIOIA INTENSE,,ACQUA DI GIOIA INTENSE,240504,1.00KG,580,$ 158
ARMANI,ACQUA DI GIO PROFONDO PARFUM,,ACQUA DI GIO PROFONDO PARFUM,240479,1.00KG,850,$ 232
ARMANI,STRONGER WITH YOU TOBACCO,,STRONGER WITH YOU TOBACCO,240205,1.00KG,950,$ 260
ARMANI,MY WAY NECTAR,,MY WAY NECTAR,240160,1.00KG,600,$ 164
ARMANI,"ARMANI PRIVE PIVOINE
SUZHOU",LZ,TIGER HILL,233612,1.00KG,550,$ 150
ARMANI,SI EDP INTENSE TOP,,SI EDP INTENSE TOP,240673,1.00KG,850,$ 232
ARMANI,SI ARMANI,,SI ARMANI,250318,1.00KG,500,$ 137
ARMANI,SANTAL DAN SHA,LZ,IMPERIAL PALACE,344206,1.00KG,600,$ 164
ARMANI,MY WAY,,MY WAY,240177,1.00KG,600,$ 164
ARMANI,MY WAY LUZI,LZ,WHITE CATWALK,503781-T,1.00KG,740,$ 202
ARMANI,"ACQUA DI GIO ABSOLU
INSTINCT",LZ,TRUE PANTELLERIA,339713,1.00KG,530,$ 145
ARMANI,MUSC SHAMAL,LZ,GRAND TOURER,343743,1.00KG,530,$ 145
ARMANI,SI FIORI TOP,,SI FIORI TOP,240598,1.00KG,1100,$ 301
ARMANI,SI ARMANI LZ,LZ,I WILL,500951,1.00KG,550,$ 150
ARMANI,ACQUA DI GIO HOMME,LZ,PANTELLERIO,554849,1.00KG,550,$ 150
ARMANI,SABLE NUIT,LZ,GOLDEN SKY,503835,1.00KG,610,$ 167
ARMANI,AQUA DI GIO PROFONDO LIGHTS,LZ,DEEP ISLAND,233486,1.00KG,660,$ 180
ARMANI,"STRONGER WITH YOU
LEATHER",LZ,POWERFUL GOLDEN LOVE,339881-X,1.00KG,450,$ 123
ARMANI,STRONGER WITH YOU MAN,LZ,POWERFUL LOVE,233263-I,1.00KG,600,$ 164
ARMANI,ARMANI CODE PARFUM,LZ,DARK TUXEDO,233155,1.00KG,500,$ 137
ARMANI,STRONGER WITH YOU OUD,LZ,POWERFUL LOVE IN ORIENT,261186-TT,1.00KG,780,$ 213
ARMANI,STRONGER WITH YOU OUD,LZ,POWRFUL LOVE IN ORIENT,261186-B,1.00KG,350,$ 96
ARMANI,MAGENTA TANZANITE,LZ,CRIMSON GEMSTONE,680259,1.00KG,880,$ 240
ARMANI,INDIGO TANZANITE,LZ,BLUE GEMSTONE,680261,1.00KG,880,$ 240
ARMANI,"SI PASSIONE ECLAT DE
PARFUM",LZ,I WILL ALWAYS SUPREME,503937,1.00KG,500,$ 137
ARMANI,MY WAY PARFUM,LZ,INTENSE WHITE CATWALK,261245-T,1.00KG,820,$ 224
ARMANI,STRONGER WITH YOU AMBER,LZ,STRONG LOVE,234035,1.00KG,600,$ 164
ARMANI,ACQUA DI GIO PROFONDO,,ACQUA DI GIO PROFONDO,240032,1.00KG,275,$ 75
ARMANI,ACQUA DI GIO ABSOLU TOP,,ACQUA DI GIO ABSOLU TOP,240338,1.00KG,850,$ 232
ARMANI,"ACQUA DI GIO PROFUMO
TOP",,"ACQUA DI GIO PROFUMO
TOP",240314,1.00KG,750,$ 205
ARMANI,ACQUA DI GIO PROFUMO,,ACQUA DI GIO PROFUMO,240315,1.00KG,275,$ 75
ARMANI,AQUA DI GIOIA LIGHT,,AQUA DI GIOIA LIGHT,3000054,1.00KG,275,$ 75
