fatima ,,,,
,,,,
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
BAKHOOR,BAKHOOR BAIT AL OUDH,,$90,330
BAKHOOR,BAKHOOR EXTRA BLACK,,$112,410
BAKHOOR,BAKHOOR AL AQIB,,$164,600
BAKHOOR,ANU BAKHOUR,BK4001,$90,330
BAKHOOR,SUELLEN BAKHOUR,,$96,350
BAKHOOR,MUKHALLAT EMIRATE,,$104,380
BAKHOOR,DENSI,60014,$304,1110
BAKHOOR,RUKAIYA,,$123,450
BAKHOOR,BAKHOUR KING VALLEY,,$150,550
BAKHOOR,NAFEME,,$164,600
BAKHOOR,BAKHOUR FEEL ME,BK4002,$104,380
BATH & BODY WORKS,JAPANESE CHERRY BLOSSOM,S400495,$150,550
BATH & BODY WORKS,CHAMPAGNE TOAST,PB0901,$150,550
BATH & BODY WORKS,WHIPPED HONEY & VANILL,IP-108,$260,950
BATH & BODY WORKS,GRANDMA FRUITCAKE,IP-109,$260,950
BATH & BODY WORKS,RASPBERY HOLIDAY PIE BAR,IP-101,$260,950
BATH & BODY WORKS,VANILLA NOIR,,$130,475
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
BATH & BODY WORKS,PINK CHIFFON,S400272,$109,400
BATH & BODY WORKS,PEACH BELLINI,,$164,600
BOTTEGA VENETA,HINOKI,PB012,$601,2200
BOTTEGA VENETA,EAU LEGERE,PB013,$286,1050
BOTTEGA VENETA,ILLUSIONE FOR HIM,PB014,$286,1050
BDK PARFUMES,VANILLE CAVIAR TOP,S400331,$328,1200
BDK PARFUMES,NECTAR OUD,S400119,$301,1100
BDK PARFUMES,312 SAINT-HONORE TOP,,$372,1360
BDK PARFUMS,GRIS CHARNEL,,$219,800
BDK PARFUMS,VELVET TONKA,,$232,850
BDK PARFUMS,TABAC ROSE TOP,,$314,1150
BDK PARFUMS,IMPADIA TOP,S400347,$383,1400
BDK PARFUMS,ROUGE SMOKING,,$161,590
BDK PARFUMS,ROUGE SMOKING EXTRAIT TOP,S400164,$341,1250
BDK PARFUMS,PAS CE SOIR TOP,S400451,$287,1050
BDK PARFUMS,PAS CE SOIR EXTRAIT,PB584,$464,1700
BDK PARFUMS,GRIS CHARNEL EXTRAIT TOP,PB5080,$464,1700
BDK PARFUMS,VANILLE CAVIAR,,$448,1640
BHARARA,KING,,$287,1050
NUDE TOP,NUDE TOP,S400385,$137,500
BILLIE EILISH,YOUR TURN II,PB40011,$204,750
BILLIE EILISH,EILISH,,$130,475
BINT AL ARAB,BINT AL ARAB,,$130,475
BLENDS OF LOVE,AGAPE / KHALTAT,,$145,530
BLENDS OF LOVE,ASK / KHALTAT,,$145,530
BLENDS OF LOVE,DRAGOSTE / KHALTAT,,$145,530
BLENDS OF LOVE,LJUBOVJ / KHALTAT,,$145,530
BOADICEA THE VICTORIOUS,OPAL,pb020,$464,1700
BOADICEA THE VICTORIOUS,DEFENDER,pb021,$464,1700
BOADICEA THE VICTORIOUS,TIGER,pb022,$327,1200
BOADICEA THE VICTORIOUS,VALIANT,,$355,1300
BOADICEA THE VICTORIOUS,NEMER,pb023,$409,1500
BOADICEA THE VICTORIOUS,GREEN SAPPHIRE,pb028,$409,1500
BOADICEA THE VICTORIOUS,ARDENT,IP-,$314,1150
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
BOADICEA THE VICTORIOUS,DRAGON,IP-4578,$382,1400
BOADICEA THE VICTORIOUS,GREEN SAPPHIRE,,$328,1200
BOADICEA THE VICTORIOUS,COMPLEX TOP,S40095,$219,800
BOADICEA THE VICTORIOUS,BLUE SAPPHIRE TOP,S400377,$451,1650
BOADICEA THE VICTORIOUS,HEROINE,,$205,750
BOADICEA THE VICTORIOUS,AURICA TOP,S40080,$295,1080
BOADICEA THE VICTORIOUS,AQUA SAPHIRE,PB242,$464,1700
BOADICEA THE VICTORIOUS,ANGELIC,,$251,920
BOADICEA THE VICTORIOUS,HANUMAN TOP,S400322,$219,800
BOADICEA THE VICTORIOUS,OUD SAPPHIRE,,$451,1650
BOHOBOCO,RED WINE BROWN SUGAR,S400429,$166,610
BOHOBOCO,JASMINE WHITE LEATHER,pb097,$341,1250
BOND NO 9,LAFAYTEE STREET TOP,S400369,$301,1100
BOND NO 9,ISLAND TOP,IP-4874,$409,1500
BOND NO 9,SHELTER ISLAND,IP584,$245,900
BOND NO 9,NEW YORK OUD UNISEX,,$130,475
BOND NO 9,WALL STREET TOP,S400455,$286,1050
BOND NO 9,BEEKMAN PLACE,IP-03,$355,1300
BOND NO 9,GOVERNORS ISLAND,IP-101,$273,1000
BOND NO 9,NEW HAARLEM,IP-102,$327,1200
BOND NO 9,PERFUME BOND NO 9 W,,$161,590
BOND NO 9,NEWYORK AMBER,T0022,$232,850
BOND NO 9,DUBAI INDIGO,T0023,$178,650
BOND NO 9,NEW YORK GARDENIA,IP-05,$341,1250
BOND NO 9,NOLITA,P0024,$519,1900
BOND NO 9,MY NEW YORK,P0025,$491,1800
BOND NO 9,NOMAD TOP,S400496,$368,1350
BOND NO 9,THE SCENT OF PEACH FOR WOMEN,P0027,$327,1200
BOND NO 9,MADISON AVENUE TOP,S400498,$273,1000
BOND NO 9,THE SCENT PEACH FOR MEN TOP,S400497,$273,1000
BOND NO 9,SHELTER ISLAND,IP804,$260,950
BOND NO 9,DUBAI GOLD,P0029,$327,1200
BOND NO 9,GREENWICH VILLAGE TOP,S400474,$396,1450
BOND NO 9,BLEECKER STREET,S400477,$260,900
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
BOND NO 9,TRIBECA,P0032,$368,1350
BOND NO 9,NEW YORK NIGHTS,P0033,$327,1200
BOND NO 9,WEST SIDE W,,$221,810
BORNTOSTANDOUT,FREE COCO TOP,S400503,$232,850
BORNTOSTANDOUT,DIRTY RICE,S400406,$210,770
BORNTOSTANDOUT,OUD CANDY EXTRAIT DE PARFUM,PB0050,$286,1050
BORNTOSTANDOUT,BLACK  KARAK,IP010,$437,1600
BORNTOSTANDOUT,BLACK MANGO,P0043,$328,1200
BORNTOSTANDOUT,MUSC X,IP-01,$368,1350
BORNTOSTANDOUT,BLACK GUAVA,P0034,$301,1100
BORNTOSTANDOUT,MARY JANE,N576B,$232,850
BORNTOSTANDOUT,A CORPS SECRET,P0035,$464,1700
BORNTOSTANDOUT,PURPLE STAIN,P0036,$464,1700
BORNTOSTANDOUT,DGAF,P0037,$301,1100
BORNTOSTANDOUT,NOT A VANILLE,S400449,$327,1200
BORNTOSTANDOUT,DIRTY MILK,P0039,$273,1000
BORNTOSTANDOUT,CANDY DUST,P0040,$355,1300
BORNTOSTANDOUT,DIRTY HEAVEN,P0041,$301,1100
BORNTOSTANDOUT,DRUNK LOVERS TOP,S400546,$273,1000
BORNTOSTANDOUT,SUGAR ADDICT,P0046,$273,1000
BORNTOSTANDOUT,FILTHY MUSK,S40059,$289,1060
