BRAND,NAME,ORI,CN CODE,QTY,AED,USD
FATIMA,SILVER MEN,AMOUAGE / SILVER MEN,,1,750.00,205.00
FATIMA,SUNSHINE MEN,AMOUAGE / SUNSHINE MEN,,1,530.00,145.00
FATIMA,SUNSHINE WOMEN,AMOUAGE / SUNSHINE WOMEN,,1,530.00,145.00
FATIMA,IMITATION WOMAN,AMOUAGE / IMITATION WOMAN,,1,860.00,235.00
FATIMA,INTERLUDE BLACK IRIS,AMOUAGE / INTERLUDE BLACK IRIS,,1,1025.00,280.00
FATIMA,SILVER OUD,AMOUAGE / SILVER OUD,,1,530.00,145.00
FATIMA,DIA WOMAN,AMOUAGE / DIA WOMAN,,1,670.00,183.00
FATIMA,JUBILATION 40 MAN,AMOUAGE / JUBILATION 40 MAN,,1,830.00,227.00
FATIMA,PURPOSE TOP,AMOUAGE / PURPOSE TOP,S400441,1,1100.00,301.00
FATIMA,LUSTRE TOP,AMOUAGE / LUSTRE TOP,,1,1450.00,396.00
FATIMA,LUSTRE TOP,AMOUAGE / LUSTRE TOP,,1,1200.00,328.00
FATIMA,GUIDANCE 46 TOP,AMOUAGE / GUIDANCE 46 TOP,S40102,1,1400.00,383.00
FATIMA,GUIDANCE 46,AMOUAGE / GUIDANCE 46,S400251,1,580.00,158.00
FATIMA,OUTLANDS TOP,AMOUAGE / OUTLANDS TOP,S400471,1,1300.00,355.00
FATIMA,PURPOSE 50 TOP,AMOUAGE / PURPOSE 50 TOP,,1,1950.00,533.00
FATIMA,GUIDANCE TOP,AMOUAGE / GUIDANCE TOP,S400177,1,700.00,177.00
FATIMA,SINDABAD,AMOUAGE / SINDABAD,S400123,1,850.00,232.00
FATIMA,ENCLAVE,AMOUAGE / ENCLAVE,PB559,1,1700.00,464.00
FATIMA,SEQUENCE,AMOUAGE / SEQUENCE,S400200,1,1050.00,286.00
FATIMA,OPUS XVI TIMBER,AMOUAGE / OPUS XVI TIMBER,PB584,1,1050.00,286.00
FATIMA,LOVE TUBEROSE,AMOUAGE / LOVE TUBEROSE,PB597,1,1300.00,355.00
FATIMA,DECISION,AMOUAGE / DECISION,IP-408,1,1900.00,519.00
FATIMA,EXISTENCE TOP,AMOUAGE / EXISTENCE TOP,IP-475,1,2300.00,628.00
FATIMA,SEARCH,AMOUAGE / SEARCH,PB850,1,1700.00,437.00
FATIMA,LUBAN AL AKHDAR,AMOUAGE / LUBAN AL AKHDAR,IP-584,1,5000.00,1366.00
FATIMA,LINE 618 TOP,AMOUAGE / LINE 618 TOP,S400118,1,1130.00,308.00
FATIMA,RECEPTION,AMOUAGE / RECEPTION,,1,1600.00,437.00
FATIMA,VANILLA BARAKA,AMOUAGE / VANILLA BARAKA,PB64,1,2200.00,601.00
FATIMA,OUD ULYA,AMOUAGE / OUD ULYA,PB66,1,2200.00,601.00
FATIMA,INTERLUDE 53 TOP,AMOUAGE / INTERLUDE 53 TOP,PB657,1,900.00,245.00
FATIMA,LILAC LOVE,AMOUAGE / LILAC LOVE,PB589,1,1200.00,327.00
FATIMA,REFLACTION 45,AMOUAGE / REFLACTION 45,PB567,1,1800.00,491.00
FATIMA,OPUS XIV ROYAL TOBACCO,AMOUAGE / OPUS XIV ROYAL TOBACCO,PB457,1,1250.00,341.00
FATIMA,LOVE DELIGHT,AMOUAGE / LOVE DELIGHT,PB894,1,1100.00,301.00
FATIMA,LUSTRE NO,AMOUAGE / LUSTRE NO,,1,800.00,219.00
FATIMA,OPUS XV - KING BLUE,AMOUAGE / OPUS XV - KING BLUE,,1,550.00,150.00
FATIMA,GUIDANCE,AMOUAGE / GUIDANCE,,1,980.00,268.00
FATIMA,GUIDANCE 46,AMOUAGE / GUIDANCE 46,,1,540.00,148.00
FATIMA,JANUARY,ANFASIC DOKHOON / JANUARY,,1,530.00,145.00
FATIMA,SHAY,ANFASIC DOKHOON / SHAY,,1,530.00,145.00
FATIMA,SHAY SHAY,ANFASIC DOKHOON / SHAY SHAY,PB8467,1,750.00,204.00
FATIMA,SUKAR,ANFASIC DOKHOON / SUKAR,,1,530.00,145.00
FATIMA,WOW,ANFASIC DOKHOON / WOW,,1,530.00,145.00
FATIMA,ONE TIME SHAY #06,ANFASIC DOKHOON / ONE TIME SHAY #06,,1,1120.00,306.00
FATIMA,ANGEL SCHLESSER FEMME,ANGEL SHLESSER / ANGEL SCHLESSER FEMME,,1,475.00,130.00
FATIMA,FANTASIA,ANNA SUI / FANTASIA,,1,590.00,161.00
FATIMA,FLIGHT OF FANCY SPIRIT,ANNA SUI / FLIGHT OF FANCY SPIRIT,,1,610.00,167.00
FATIMA,LUCKY WISH,ANNA SUI / LUCKY WISH,,1,530.00,145.00
FATIMA,MELLOW YELLOW SUNDAY,ANNA SUI / MELLOW YELLOW SUNDAY,,1,560.00,153.00
FATIMA,BLUE SEDUCTION MEN LUZI TOP,ANTONIO BANDERAS / BLUE SEDUCTION MEN LUZI TOP,,1,750.00,205.00
FATIMA,BLUE SEDUCTION FOR MEN BLUE,ANTONIO BANDERAS / BLUE SEDUCTION FOR MEN BLUE,,1,700.00,191.00
FATIMA,BLUE SEDUCTION TOP,ANTONIO BANDERAS / BLUE SEDUCTION TOP,,1,590.00,161.00
FATIMA,BLUE SEDUCTION BLUE,ANTONIO BANDERAS / BLUE SEDUCTION BLUE,,1,500.00,137.00
FATIMA,SEDUCTION IN BLACK,ANTONIO BANDERAS / SEDUCTION IN BLACK,,1,530.00,145.00
FATIMA,THE SECRET,ANTONIO BANDERAS / THE SECRET,,1,500.00,137.00
FATIMA,THE SECRET TEMPTATION,ANTONIO BANDERAS / THE SECRET TEMPTATION,,1,750.00,205.00
FATIMA,THE ICON,ANTONIO BANDERAS / THE ICON,,1,590.00,161.00
FATIMA,PINK SUGAR,AQUOLINA / PINK SUGAR,S400344,1,330.00,90.00
FATIMA,BLACK SUGAR,AQUOLINA / BLACK SUGAR,,1,475.00,130.00
FATIMA,AL FAREED,ARABIAN OUD / AL FAREED,PB587,1,900.00,245.00
FATIMA,RESALAH,ARABIAN OUD / RESALAH,PB584,1,600.00,164.00
FATIMA,MADAWI TOP,ARABIAN OUD / MADAWI TOP,S400537,1,630.00,172.00
FATIMA,SULTANI AMBERWOOD,ARABIAN OUD / SULTANI AMBERWOOD,PB87,1,900.00,286.00
FATIMA,ARABIAN KNIGHT,ARABIAN OUD / ARABIAN KNIGHT,,1,920.00,251.00
FATIMA,ARABIAN OUD,ARABIAN OUD / ARABIAN OUD,,1,810.00,221.00
